"Año","Mes","Pais_Destino","Nombre_Exportador","Sacos_de_70kg_equivalente_real_exportado","Sacos_de_60Kg_Exportados","Valor_factura_USD"
2017,1,"Alemania","A LAUMAYER Y COMPAÑIA EXPORTADORES",4691,5471,1133799.64
2017,1,"Alemania","ALTAMIRA SUPREMO S.A.S.",825,962,150000
2017,1,"Alemania","BANCA EXPORTADORA S.A BANEXPORT",275,321,80000
2017,1,"Alemania","C. I. KYOTO LOHAS BEANS S.A.S",271,316,96744.25
2017,1,"Alemania","CAFE COLSUAVES S.A.S",300,350,64500
2017,1,"Alemania","CARAVELA COLOMBIA S.A.S",286,334,61490
2017,1,"Alemania","CARCAFE LTDA",3107,3625,778706.25
2017,1,"Alemania","COFCO COLOMBIA S.A.S",275,321,50000
2017,1,"Alemania","COMERCIALIZADORA TIERRA CAFE S.A.S.",283,332,101571.17
2017,1,"Alemania","COMPAÑÍA CAFETERA LA MESETA S.A.",3596,4197,908269.31
2017,1,"Alemania","COMPAÑIA COLOMBIANA AGROINDUSTRIAL",899,1049,207630.77
2017,1,"Alemania","COMPAÑIA NACIONAL DEL CAFÉ  S.A.S",6783,7912,1777309.67
2017,1,"Alemania","COOPERATIVA DE CAFICULTORES",190,223,88090
2017,1,"Alemania","DESCAFEINADORA COLOMBIANA S.A.S",1,1,2475
2017,1,"Alemania","ENGELHART CTP (COLOMBIA )  S.A.S.",10237,11943,2175992.08
2017,1,"Alemania","FEDERACION NACIONAL DE CAFETEROS",16948,19770,4515533.25
2017,1,"Alemania","INDUSTRIA COLOMBIANA DE CAFÉ S.A.S.",114,132,42784
2017,1,"Alemania","INDUSTRIAS ALIADAS S.A.S",458,534,104720
2017,1,"Alemania","LOUIS DREYFUS COMPANY COLOMBIA",7727,9015,1300000
2017,1,"Alemania","LOUIS DREYFUS COMPANY COLOMBIA S.A.",2401,2801,400000.01
2017,1,"Alemania","OLAM AGRO COLOMBIA S.A.S",1100,1283,236284.99
2017,1,"Alemania","PROMOTORA DE INVERSIONES",275,321,64196.41
