"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","X..var.","precio_promedio"
1979-12-27,183.18,188.35,188.5,183,"","-2,23%",185.7575
1979-12-28,181.53,183,185.75,181,"","-0,90%",182.82
1979-12-31,181.75,182.25,182.75,181,"","0,12%",181.9375
1980-01-02,177.58,182.1,182.25,176,"1,14K","-2,29%",179.4825
1980-01-03,171.5,176.5,176.5,170.5,"1,44K","-3,42%",173.75
1980-01-04,176.16,173.37,178.25,173.25,"1,29K","2,72%",175.2575
1980-01-07,178.58,175.42,179,175,"1,02K","1,37%",177
1980-01-08,180.57,180.3,183.4,179,"1,25K","1,11%",180.8175
1980-01-09,176.16,178.12,179.4,176.1,"0,77K","-2,44%",177.445
1980-01-10,179.5,176,179.9,175.25,"0,81K","1,90%",177.6625
1980-01-11,183.02,181.25,183.75,181,"0,91K","1,96%",182.255
1980-01-14,178.93,182.3,182.5,176.2,"0,72K","-2,23%",179.9825
1980-01-15,173.36,176.3,176.9,173.25,"1,18K","-3,11%",174.9525
1980-01-16,173.36,172.75,173.5,171.25,"1,52K","0,00%",172.715
1980-01-17,173.93,173.55,174.75,172,"1,01K","0,33%",173.5575
1980-01-18,173.79,173.71,173.95,171.25,"1,16K","-0,08%",173.175
1980-01-21,172.69,172.62,172.95,171,"0,59K","-0,63%",172.315
1980-01-22,167.44,171.87,172.25,166.25,"1,09K","-3,04%",169.4525
1980-01-23,162.47,164.75,165,160.8,"1,26K","-2,97%",163.255
1980-01-24,165.07,164.2,165.25,162.25,"1,30K","1,60%",164.1925
1980-01-25,163.75,163,164,160.1,"1,46K","-0,80%",162.7125
1980-01-28,165.48,162.24,166.75,162,"0,62K","1,06%",164.1175
1980-01-29,165,164.8,165.5,164.05,"0,40K","-0,29%",164.8375
1980-01-30,165,164.5,165.3,162.95,"0,78K","0,00%",164.4375
1980-01-31,166.39,163.75,166.5,163.55,"0,82K","0,84%",165.0475
1980-02-01,168.61,168.39,168.75,167,"0,69K","1,33%",168.1875
1980-02-04,168.95,168.5,169.24,167.5,"0,21K","0,20%",168.5475
1980-02-05,166,169,169.25,166,"0,33K","-1,75%",167.5625
1980-02-06,167.6,164.25,168,163,"0,94K","0,96%",165.7125
1980-02-07,166.18,165,167.5,164,"0,34K","-0,85%",165.67
1980-02-08,166.35,165.65,168,164.6,"0,23K","0,10%",166.15
1980-02-11,165.28,164,165.9,163.75,"0,18K","-0,64%",164.7325
1980-02-13,163.78,164.25,164.75,163,"0,34K","-0,91%",163.945
1980-02-14,163.06,163,164,163,"0,24K","-0,44%",163.265
1980-02-15,166.46,164.75,167.5,164.25,"0,41K","2,09%",165.74
1980-02-19,168.58,167,168.75,166.4,"0,57K","1,27%",167.6825
1980-02-20,167.5,168,168,166.6,"0,58K","-0,64%",167.525
1980-02-21,168.46,167,168.5,167,"0,67K","0,57%",167.74
